"No.","Time","Source","Destination","Protocol","Length","Info","Type","Data rate"
"1","0.000000","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"2","0.000086","ArrisGro_0f:c2:b5 (bc:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","12"
"3","0.002810","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","216","QoS Data, SN=2307, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"4","0.003199","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"5","0.003359","ArrisGro_0f:c2:b5 (bc:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","12"
"6","0.004580","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","745","QoS Data, SN=2308, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"7","0.005330","0e:2e:48:80:9a:84","Broadcast","802.11","347","Beacon frame, SN=2654, FN=0, Flags=........C, BI=100, SSID=Broadcast","Beacon frame","6"
"8","0.008105","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"9","0.008193","ArrisGro_0f:c2:b5 (bc:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","12"
"10","0.012720","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","230","QoS Data, SN=2309, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"11","0.012962","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","745","QoS Data, SN=2310, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"12","0.013037","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"13","0.013387","ArrisGro_0f:c2:b5 (bc:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","12"
"14","0.013460","ArrisGro_0f:c2:b5 (bd:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"15","0.013964","4e:7a:8a:19:d7:32","Broadcast","802.11","304","Beacon frame, SN=3183, FN=0, Flags=........., BI=100, SSID=\\357\\277\\275finitewi[Malformed Packet]","Beacon frame","6"
"16","0.014455","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"17","0.014529","ArrisGro_0f:c2:b5 (bc:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","12"
"18","0.014645","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","745","QoS Data, SN=2311, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"19","0.015831","52:86:8c:e9:ec:2c","Broadcast","802.11","347","Beacon frame, SN=2919, FN=0, Flags=........C, BI=200, SSID=Broadcast","Beacon frame","6"
"20","0.017964","d2:7c:d1:07:b5:10","Broadcast","802.11","274","Beacon frame, SN=392, FN=0, Flags=........C, BI=200, SSID=xfinitywifi","Beacon frame","6"
"21","0.018490","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"22","0.018764","ArrisGro_0f:c2:b5 (bc:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","12"
"23","0.021128","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","745","QoS Data, SN=2312, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"24","0.024477","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","270","QoS Data, SN=2313, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"25","0.024714","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"26","0.024789","ArrisGro_0f:c2:b5 (bc:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","12"
"27","0.025789","ArrisGro_80:9a:84","Broadcast","802.11","357","Beacon frame, SN=2223, FN=0, Flags=........C, BI=100, SSID=CARS","Beacon frame","6"
"28","0.026312","Pegatron_05:41:00","Broadcast","802.11","359","Beacon frame, SN=2421, FN=0, Flags=........C, BI=100, SSID=HOME-05B7-5","Beacon frame","6"
"29","0.026706","Pegatron_05:41:01","Broadcast","802.11","317","Beacon frame, SN=3247, FN=0, Flags=........C, BI=100, SSID=Broadcast","Beacon frame","6"
"30","0.027162","Pegatron_05:41:02","Broadcast","802.11","317","Beacon frame, SN=3173, FN=0, Flags=........C, BI=100, SSID=Broadcast","Beacon frame","6"
"31","0.027505","Pegatron_05:41:04","Broadcast","802.11","274","Beacon frame, SN=1129, FN=0, Flags=........C, BI=100, SSID=xfinitywifi","Beacon frame","6"
"32","0.028009","Pegatron_05:41:03","Broadcast","802.11","317","Beacon frame, SN=3147, FN=0, Flags=........C, BI=100, SSID=Broadcast","Beacon frame","6"
"33","0.030768","ArrisGro_0f:c2:b5","Broadcast","802.11","364","Beacon frame, SN=2499, FN=0, Flags=........C, BI=200, SSID=GWQ-Home_5G","Beacon frame","6"
"34","0.030856","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","745","QoS Data, SN=2314, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"35","0.030958","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
"36","0.031076","ArrisGro_0f:c2:b5 (bc:2e:48:0f:c2:b5) (TA)","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","12"
"37","0.033424","7e:f2:9e:44:31:70","Broadcast","802.11","317","Beacon frame, SN=826, FN=0, Flags=........C, BI=200, SSID=Broadcast","Beacon frame","6"
"38","0.034622","5e:7a:8a:19:d7:32","Broadcast","802.11","347","Beacon frame, SN=975, FN=0, Flags=........C, BI=100, SSID=Broadcast","Beacon frame","6"
"39","0.035248","5e:7a:8a:83:19:be","Broadcast","802.11","337","Beacon frame, SN=1294, FN=0, Flags=........C, BI=200, SSID=Broadcast","Beacon frame","6"
"40","0.036434","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","745","QoS Data, SN=2315, FN=0, Flags=.p....F.C","QoS Data","175.5,175.5"
"41","0.036961","","Apple_94:a9:3d (98:5a:eb:94:a9:3d) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","12"
